date,close,high,low,number_of_trades,open,volume
2021-04-07 17:49:00,56085.36,56108.46,56080.0,1308.0,56084.15,83.293
2021-04-07 17:50:00,56130.0,56130.0,56080.4,1518.0,56085.36,110.125
2021-04-07 17:51:00,56108.34,56148.99,56094.48,1262.0,56129.99,94.701
2021-04-07 17:52:00,56163.46,56169.21,56090.0,1518.0,56115.21,147.557
2021-04-07 17:53:00,56231.99,56233.23,56162.46,1804.0,56162.46,165.666
2021-04-07 17:54:00,56246.59,56260.0,56172.43,2453.0,56231.99,348.377
2021-04-07 17:55:00,56238.87,56270.0,56236.22,1524.0,56246.59,122.592
2021-04-07 17:56:00,56207.27,56250.0,56200.0,1066.0,56238.86,58.363
2021-04-07 17:57:00,56195.0,56221.41,56195.0,1108.0,56205.94,67.771
2021-04-07 17:58:00,56183.89,56222.1,56169.61,1723.0,56195.0,153.454
2021-04-07 17:59:00,56120.44,56191.32,56090.0,2035.0,56180.47,195.198
2021-04-07 18:00:00,56084.99,56120.44,56060.1,2493.0,56120.43,312.781
2021-04-07 18:01:00,56222.88,56250.0,56084.99,2468.0,56084.99,209.138
2021-04-07 18:02:00,56330.28,56350.51,56222.9,2984.0,56222.9,280.961
2021-04-07 18:03:00,56335.0,56336.53,56268.61,1421.0,56330.29,121.463
2021-04-07 18:04:00,56419.75,56419.75,56326.57,2314.0,56334.99,202.649
2021-04-07 18:05:00,56375.76,56478.36,56355.53,4010.0,56419.75,456.236
2021-04-07 18:06:00,56394.0,56402.59,56303.68,2018.0,56375.77,167.635
2021-04-07 18:07:00,56381.02,56403.09,56346.91,1319.0,56394.0,89.288
2021-04-07 18:08:00,56431.22,56450.0,56381.02,1636.0,56381.03,108.837
2021-04-07 18:09:00,56442.26,56477.14,56424.18,1611.0,56431.21,96.518
2021-04-07 18:10:00,56473.05,56525.6,56434.57,2909.0,56443.12,318.035
2021-04-07 18:11:00,56432.28,56480.58,56391.49,1643.0,56475.35,136.833
2021-04-07 18:12:00,56415.15,56475.11,56414.93,1282.0,56432.29,72.940
2021-04-07 18:13:00,56401.01,56426.94,56382.56,1292.0,56419.55,93.905
2021-04-07 18:14:00,56415.99,56435.24,56350.0,1332.0,56404.91,95.119
2021-04-07 18:15:00,56460.94,56466.01,56403.46,1234.0,56415.98,83.120
2021-04-07 18:16:00,56381.22,56465.95,56380.0,1139.0,56460.93,91.399
2021-04-07 18:17:00,56346.54,56399.14,56326.66,1436.0,56381.21,110.656
2021-04-07 18:18:00,56310.01,56354.17,56300.0,1220.0,56346.54,91.858
2021-04-07 18:19:00,56257.99,56317.03,56222.76,1987.0,56310.01,158.445
2021-04-07 18:20:00,56188.08,56295.94,56186.52,1843.0,56263.58,135.807
2021-04-07 18:21:00,56185.6,56236.15,56162.58,1463.0,56188.09,137.634
2021-04-07 18:22:00,56140.53,56195.0,56123.0,1799.0,56185.6,124.637
2021-04-07 18:23:00,56128.32,56220.0,56112.31,1797.0,56140.53,145.865
2021-04-07 18:24:00,56082.0,56143.36,56073.01,2550.0,56128.32,196.602
2021-04-07 18:25:00,56103.21,56149.67,56080.0,2566.0,56082.0,184.691
2021-04-07 18:26:00,56077.78,56127.35,56062.0,1958.0,56103.2,159.199
2021-04-07 18:27:00,55953.21,56078.2,55871.69,10026.0,56078.2,962.628
2021-04-07 18:28:00,56043.45,56061.38,55920.66,3271.0,55953.22,235.430
2021-04-07 18:29:00,55907.08,56039.74,55881.85,2569.0,56039.74,311.207
2021-04-07 18:30:00,56034.57,56035.82,55857.58,5149.0,55907.08,424.790
2021-04-07 18:31:00,56013.02,56035.0,55968.0,1644.0,56034.98,113.686
2021-04-07 18:32:00,56093.15,56100.0,56011.35,2363.0,56013.02,232.495
2021-04-07 18:33:00,56116.31,56181.35,56072.38,3671.0,56091.6,463.303
2021-04-07 18:34:00,56100.01,56123.84,56052.81,1427.0,56116.32,112.928
2021-04-07 18:35:00,56050.01,56100.01,56050.0,949.0,56100.01,50.266
2021-04-07 18:36:00,56119.3,56150.0,56050.01,1567.0,56050.01,140.165
2021-04-07 18:37:00,56176.01,56197.31,56111.09,1439.0,56119.3,121.865
2021-04-07 18:38:00,56185.07,56228.99,56167.41,1497.0,56176.0,100.933
2021-04-07 18:39:00,56130.31,56193.25,56092.11,1610.0,56185.59,102.673
2021-04-07 18:40:00,56214.87,56214.87,56125.65,1374.0,56130.31,97.296
2021-04-07 18:41:00,56275.0,56277.22,56210.89,1790.0,56214.86,111.482
2021-04-07 18:42:00,56276.24,56295.71,56216.69,1761.0,56275.0,126.454
2021-04-07 18:43:00,56235.3,56310.0,56232.39,1639.0,56276.24,118.976
2021-04-07 18:44:00,56220.26,56258.9,56176.0,1261.0,56237.5,89.332
2021-04-07 18:45:00,56158.93,56220.27,56095.69,2339.0,56220.27,220.748
2021-04-07 18:46:00,56183.1,56186.49,56144.54,948.0,56158.94,64.623
2021-04-07 18:47:00,56044.01,56183.09,56044.0,1747.0,56183.09,146.776
2021-04-07 18:48:00,56070.45,56088.48,55970.0,2904.0,56044.01,223.282
2021-04-07 18:49:00,56119.04,56148.8,56066.59,1552.0,56067.37,131.611
2021-04-07 18:50:00,56206.26,56207.39,56118.63,895.0,56119.04,38.749
2021-04-07 18:51:00,56297.44,56297.44,56200.32,1830.0,56206.27,144.765
2021-04-07 18:52:00,56177.71,56296.45,56175.68,1262.0,56292.95,104.647
2021-04-07 18:53:00,56158.19,56204.42,56135.0,1076.0,56180.1,65.992
2021-04-07 18:54:00,56104.0,56160.23,56092.39,1020.0,56160.22,69.177
2021-04-07 18:55:00,56045.0,56112.47,56045.0,939.0,56103.01,62.115
2021-04-07 18:56:00,56023.06,56070.0,56023.0,1300.0,56045.01,85.269
2021-04-07 18:57:00,55981.31,56039.99,55978.4,1572.0,56023.06,133.865
2021-04-07 18:58:00,55994.28,56084.64,55981.11,1791.0,55982.94,172.111
2021-04-07 18:59:00,55929.0,55998.82,55925.11,1435.0,55994.93,99.582
2021-04-07 19:00:00,55935.59,55999.45,55916.28,1979.0,55928.99,185.326
2021-04-07 19:01:00,55892.85,55935.08,55860.0,2793.0,55932.98,275.376
2021-04-07 19:02:00,55870.23,55920.0,55821.79,3063.0,55892.75,235.043
2021-04-07 19:03:00,55831.58,55915.83,55820.0,2033.0,55869.96,144.714
2021-04-07 19:04:00,55780.66,55845.18,55760.34,5009.0,55831.58,538.508
2021-04-07 19:05:00,55801.99,55863.96,55735.0,3804.0,55781.09,381.526
2021-04-07 19:06:00,55849.56,55937.01,55802.96,2531.0,55802.97,218.998
2021-04-07 19:07:00,55886.0,55935.22,55849.56,1722.0,55849.56,112.984
2021-04-07 19:08:00,55840.0,55887.75,55811.64,1403.0,55885.99,117.855
2021-04-07 19:09:00,55664.6,55840.0,55650.0,8858.0,55839.99,793.658
